id_verb,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM,object,pp1,pp2,correctedness_perc,aff_diff,offline_diff,id_obj,correct,object_log,pp1_log,pp2_log,origin,post_target,post_target_log
3,1,85,Pablo secuestró a una turista en el aeropuerto durante una hora.,19,0,1,1,1,1,1,0.3962419033050537,1.0235025882720947,2.1897900104522705,97.87234042553192,0.4500000000000002,0.6549999999999998,1,1,-0.9257303872989584,0.023230654960264385,0.7838056535928551,1,0.2878706455230713,-1.2452440472324733
5,0,87,Manuel abrazó a la señora en el parque en pocos instantes.,19,0,1,1,0,1,1,0.4153265953063965,1.2431161403656006,3.4743220806121826,97.87234042553192,0.4500000000000002,-0.05333333333333368,0,1,-0.8786900916132662,0.2176212436952033,1.2453993752693384,1,0.41564464569091797,-0.8779246008613345
2,0,89,Simón pateó a la jugadora en la cancha en un instante.,19,0,1,1,0,1,1,0.6566281318664551,1.739715814590454,1.9222431182861328,97.87234042553192,0.4500000000000002,-0.05333333333333368,0,1,-0.4206374300769646,0.5537217749394511,0.6534927948931207,1,0.49636101722717285,-0.7004517597040313
25,0,92,Pedro observó a la secretaria en la oficina durante una hora.,19,0,1,1,0,0,1,0.5083901882171631,1.3677418231964111,2.9634861946105957,97.87234042553192,-0.4500000000000002,-0.05333333333333368,0,1,-0.6765060391898879,0.3131610756557989,1.0863663437603297,1,0.28872108459472656,-1.2422941620921544
7,4,93,Tomás empujó una vieja a la puerta en pocos segundos.,19,0,1,1,1,1,0,0.550410270690918,1.582503318786621,5.590554475784302,97.87234042553192,0.4500000000000002,0.1549999999999998,1,0,-0.5970913321248282,0.4590079722135345,1.7210784729070276,1,0.4692695140838623,-0.7565780186926734
22,5,95,Carla asedió la ciudad en la región durante bastante tiempo.,19,0,1,0,0,1,0,0.45256519317626953,1.6950221061706543,2.6812000274658203,97.87234042553192,0.4500000000000002,1.2799999999999998,2,1,-0.7928234529019972,0.5276957827359542,0.9862644657455192,1,0.32069826126098633,-1.1372545939971754
13,1,96,Martina atropelló a una anciana en el aparcamiento en pocos minutos.,19,0,1,1,1,1,1,0.33423876762390137,0.9324650764465332,2.5206642150878906,97.87234042553192,0.4500000000000002,0.6549999999999998,1,1,-1.0958996682800644,-0.06992357969736046,0.9245224442087371,1,0.3830597400665283,-0.9595643226790204
45,3,99,Gabriela localizó la amiga en la ciudad en dos minutos.,19,0,1,1,0,0,0,0.2437131404876709,1.1143290996551514,1.6581594944000244,97.87234042553192,-0.4500000000000002,-0.5950000000000002,0,0,-1.411763399050972,0.10825251947021877,0.5057082489501875,1,0.2701404094696045,-1.308813420082531
33,3,102,Marco imaginó la amiga en la playa durante dos minutos.,19,0,1,1,0,0,0,0.28535938262939453,0.9519858360290527,1.6751189231872559,97.87234042553192,-0.4500000000000002,-0.5950000000000002,0,0,-1.2540059014136755,-0.049205122422195,0.5158841616744906,1,0.35193753242492676,-1.044301583834676
17,3,105,Luis zarandeó la mujer en la casa durante algunos minutos.,19,0,1,1,0,1,0,0.4335057735443115,1.4443788528442383,2.8233330249786377,97.87234042553192,0.4500000000000002,-0.5950000000000002,0,0,-0.8358501644089118,0.36767936952489816,1.0379181107793083,1,0.4110107421875,-0.8891359281182145
40,2,0,Adrián percibió a la sombra detrás de él durante algunos minutos.,20,1,0,0,0,0,1,0.3017749786376953,1.136681079864502,2.3005101680755615,95.74468085106383,-0.5,-1.6150000000000002,2,0,-1.198073643183797,0.12811268277962193,0.8331309105451795,2,0.3744175434112549,-0.9823836780746178
41,1,1,Emma investigó a una empresaria en la ciudad durante varias semanas.,20,1,0,1,1,0,1,0.5929520130157471,1.3340144157409668,1.2807395458221436,95.74468085106383,-0.5,1.1349999999999998,1,1,-0.5226418056605814,0.28819275383756704,0.24743768126015098,2,0.48588037490844727,-0.7217928275432862
28,5,3,Anna comprendió la tarea en la escuela en dos minutos.,20,1,0,0,0,0,0,0.30651378631591797,0.9527688026428223,1.364295244216919,95.74468085106383,-0.5,-0.2400000000000002,2,1,-1.1824925447938832,-0.04838300429530109,0.3106379907028168,2,0.3098015785217285,-1.171823255719488
